ID_JOUEUR    '789' 
nom           'ffff' 
prenom        '' 
age          '0' 
email          '' 
pays         '' 
 
ID_JOUEUR    '777' 
nom           'gh' 
prenom        'fd' 
age          '18' 
email          '' 
pays         'Tun' 
 
ID_JOUEUR    '888' 
nom           'vd' 
prenom        'ez' 
age          '18' 
email          '' 
pays         'Alg' 
 
ID_JOUEUR    '4725' 
nom           'ye' 
prenom        'fe' 
age          '18' 
email          'wdfh' 
pays         'Brazil' 
 
ID_JOUEUR    '176' 
nom           'mohsen' 
prenom        'rebhi' 
age          '44' 
email          '' 
pays         '' 
 
